game_pk,home_Team,away_Team,home_game_date,away_game_date,home_sp_mlbam,away_sp_mlbam,home_roll5_win_pct,home_roll5_runs_scored,home_roll5_runs_allowed,home_roll5_run_diff,away_roll5_win_pct,away_roll5_runs_scored,away_roll5_runs_allowed,away_roll5_run_diff,home_sp_roll3_velocity,home_sp_roll3_woba,home_sp_roll3_xwoba,home_sp_roll3_k_percent,home_sp_roll3_bb_percent,away_sp_roll3_velocity,away_sp_roll3_woba,away_sp_roll3_xwoba,away_sp_roll3_k_percent,away_sp_roll3_bb_percent,home_win_pct_to_date,away_win_pct_to_date,home_home_games_before,home_home_wins_before,home_home_win_pct_to_date,away_away_games_before,away_away_wins_before,away_away_win_pct_to_date,home_days_since_last_game,away_days_since_last_game,home_park_factor,away_park_factor
744824,WSH,SD,2024-07-24,2024-07-24,680730.0,663362.0,0.6,4.2,4.8,-0.5999999999999996,0.6,3.2,2.8,0.40000000000000036,88.46666666666665,0.4553333333333333,0.38400000000000006,23.899999999999995,10.733333333333334,82.36666666666667,0.3463333333333333,0.37799999999999995,13.5,2.9333333333333336,0.46938775510204084,0.5161290322580645,45,22.0,0.4888888888888889,46,25.0,0.5434782608695652,1.0,1.0,1.01,0.93
744827,WSH,SD,2024-07-25,2024-07-25,571578.0,656302.0,0.6,4.2,5.4,-1.2000000000000002,0.8,5.0,2.2,2.8,84.63333333333333,0.2866666666666667,0.303,20.866666666666664,4.466666666666666,91.8,0.2943333333333334,0.2386666666666667,40.166666666666664,9.366666666666665,0.46464646464646464,0.5212765957446809,46,22.0,0.4782608695652174,47,26.0,0.5531914893617021,1.0,1.0,1.01,0.93
744828,WSH,SD,2024-07-23,2024-07-23,687792.0,681190.0,0.8,5.4,5.0,0.40000000000000036,0.6,3.2,2.8,0.40000000000000036,89.03333333333332,0.3566666666666667,0.30833333333333335,23.599999999999998,6.833333333333333,89.43333333333334,0.29,0.38400000000000006,15.633333333333335,8.633333333333335,0.4742268041237113,0.5108695652173914,44,22.0,0.5,45,24.0,0.5333333333333333,2.0,2.0,1.01,0.93
744829,WSH,CIN,2024-07-19,2024-07-19,571578.0,593423.0,0.4,3.2,5.8,-2.5999999999999996,0.6,6.4,4.0,2.4000000000000004,84.73333333333333,0.39466666666666667,0.35000000000000003,18.166666666666668,5.733333333333333,91.76666666666665,0.335,0.3913333333333333,21.333333333333332,11.166666666666666,0.4574468085106383,0.5054945054945055,41,19.0,0.4634146341463415,41,21.0,0.5121951219512195,5.0,5.0,1.01,1.09
744830,WSH,CIN,2024-07-20,2024-07-20,669022.0,666157.0,0.6,4.4,5.6,-1.1999999999999993,0.6,6.4,4.4,2.0,91.96666666666665,0.325,0.34299999999999997,26.733333333333334,14.433333333333332,90.3,0.4073333333333333,0.3686666666666667,19.2,14.799999999999999,0.4631578947368421,0.5,42,20.0,0.47619047619047616,42,21.0,0.5,1.0,1.0,1.01,1.09
744831,WSH,CIN,2024-07-21,2024-07-21,663623.0,671096.0,0.8,5.4,5.0,0.40000000000000036,0.4,5.6,5.2,0.39999999999999947,88.73333333333333,0.34366666666666673,0.3383333333333334,16.899999999999995,7.8999999999999995,88.7,0.306,0.30000000000000004,20.26666666666667,11.299999999999999,0.46875,0.4946236559139785,43,21.0,0.4883720930232558,43,21.0,0.4883720930232558,1.0,1.0,1.01,1.09
744832,WSH,STL,2024-07-07,2024-07-07,687792.0,502043.0,0.6,6.0,5.0,1.0,0.6,5.4,6.2,-0.7999999999999998,88.93333333333334,0.41533333333333333,0.35799999999999993,25.266666666666666,3.5,86.8,0.372,0.332,40.0,5.0,0.47674418604651164,0.524390243902439,39,19.0,0.48717948717948717,43,21.0,0.4883720930232558,1.0,1.0,1.01,0.96
744833,WSH,STL,2024-07-08,2024-07-08,680730.0,571945.0,0.6,6.2,5.2,1.0,0.6,5.6,6.0,-0.40000000000000036,88.3,0.34366666666666673,0.329,25.46666666666667,4.166666666666667,88.03333333333335,0.36366666666666664,0.35100000000000003,11.333333333333334,3.9333333333333336,0.47126436781609193,0.5301204819277109,40,19.0,0.475,44,22.0,0.5,1.0,1.0,1.01,0.96
744834,WSH,NYM,2024-07-04,2024-07-04,663623.0,500779.0,0.4,4.8,5.4,-0.6000000000000005,0.4,6.4,7.0,-0.5999999999999996,87.63333333333333,0.229,0.25699999999999995,29.766666666666666,7.6000000000000005,86.0,0.28633333333333333,0.3336666666666667,31.299999999999997,9.266666666666667,0.46987951807228917,0.5,36,17.0,0.4722222222222222,38,21.0,0.5526315789473685,1.0,1.0,1.01,0.97
744835,WSH,STL,2024-07-06,2024-07-06,669022.0,458681.0,0.4,4.6,5.6,-1.0,0.8,4.6,3.4,1.1999999999999997,91.66666666666667,0.2826666666666667,0.2753333333333334,25.433333333333337,6.8666666666666645,90.3,0.25533333333333336,0.35800000000000004,22.933333333333334,1.5999999999999999,0.47058823529411764,0.5308641975308642,38,18.0,0.47368421052631576,42,21.0,0.5,1.0,1.0,1.01,0.96
744836,WSH,STL,2024-07-05,2024-07-05,571578.0,543243.0,0.4,3.4,5.2,-1.8000000000000003,0.6,4.0,4.0,0.0,85.23333333333333,0.3076666666666667,0.34933333333333333,19.133333333333333,4.300000000000001,88.30000000000001,0.252,0.27033333333333337,25.766666666666666,3.8999999999999986,0.47619047619047616,0.525,37,18.0,0.4864864864864865,41,20.0,0.4878048780487805,1.0,1.0,1.01,0.96
