Date,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,HomeID,AwayID,joincol,game_pk
2025-04-06,11:35 AM,1:35 PM,St. Louis Cardinals,4,Boston Red Sox,5,Final,Andre Pallante,Sean Newcomb,Aroldis Chapman,Ryan Fernandez,,111,138,250406111,
2025-04-06,5:10 PM,7:10 PM,St. Louis Cardinals,7,Boston Red Sox,18,Final,Miles Mikolas,Hunter Dobbins,Hunter Dobbins,Miles Mikolas,Cooper Criswell,111,138,250406111,
2025-04-20,1:10 PM,3:10 PM,Washington Nationals,3,Colorado Rockies,2,Final,Jake Irvin,Kyle Freeland,Jake Irvin,Kyle Freeland,Kyle Finnegan,115,120,250420115,
2025-04-20,6:10 PM,8:10 PM,Washington Nationals,1,Colorado Rockies,3,Final,Brad Lord,Antonio Senzatela,Antonio Senzatela,Brad Lord,Tyler Kinley,115,120,250420115,
2025-04-24,12:10 PM,2:10 PM,Colorado Rockies,4,Kansas City Royals,7,Final,Germán Márquez,Cole Ragans,Angel Zerpa,Germán Márquez,Carlos Estévez,118,115,250424118,
2025-04-24,12:15 PM,2:15 PM,Colorado Rockies,2,Kansas City Royals,6,Final,Chase Dollander,Michael Lorenzen,Michael Lorenzen,Chase Dollander,,118,115,250424118,
2025-04-26,11:10 AM,1:10 PM,Boston Red Sox,4,Cleveland Guardians,5,Final,Tanner Houck,Ben Lively,Tim Herrin,Brennan Bernardino,Cade Smith,114,111,250426114,
2025-04-26,11:10 AM,1:10 PM,Baltimore Orioles,3,Detroit Tigers,4,Final,Brandon Young,Casey Mize,Casey Mize,Brandon Young,Will Vest,116,110,250426116,
2025-04-26,4:10 PM,6:10 PM,Boston Red Sox,7,Cleveland Guardians,3,Final,Walker Buehler,Doug Nikhazy,Walker Buehler,Doug Nikhazy,,114,111,250426114,
2025-04-26,4:10 PM,6:10 PM,Baltimore Orioles,2,Detroit Tigers,6,Final,Keegan Akin,Keider Montero,Brant Hurter,Charlie Morton,,116,110,250426116,
2025-04-27,11:35 AM,1:35 PM,Toronto Blue Jays,2,New York Yankees,11,Final,Kevin Gausman,Max Fried,Max Fried,Kevin Gausman,,147,141,250427147,
2025-04-27,11:40 AM,1:40 PM,Toronto Blue Jays,1,New York Yankees,5,Final,Chris Bassitt,Clarke Schmidt,Tim Hill,Chris Bassitt,,147,141,250427147,
2025-04-30,10:40 AM,12:40 PM,St. Louis Cardinals,6,Cincinnati Reds,0,Final,Miles Mikolas,Brady Singer,Miles Mikolas,Brady Singer,,113,138,250430113,
2025-04-30,4:40 PM,6:40 PM,St. Louis Cardinals,9,Cincinnati Reds,1,Final,Steven Matz,Chase Petty,Gordon Graceffo,Chase Petty,,113,138,250430113,
2025-05-04,11:15 AM,1:15 PM,New York Mets,5,St. Louis Cardinals,6,Final,Blade Tidwell,Erick Fedde,Erick Fedde,Blade Tidwell,Ryan Helsley,138,121,250504138,
2025-05-04,4:15 PM,6:15 PM,New York Mets,4,St. Louis Cardinals,5,Final,Tylor Megill,Andre Pallante,Michael McGreevy,Max Kranick,,138,121,250504138,
2025-05-06,1:35 PM,3:35 PM,Cleveland Guardians,9,Washington Nationals,10,Final,Luis L. Ortiz,Jake Irvin,Jorge López,Cade Smith,Kyle Finnegan,120,114,250506120,
2025-05-06,1:40 PM,3:40 PM,Cleveland Guardians,9,Washington Nationals,1,Final,Ben Lively,Brad Lord,Ben Lively,Brad Lord,,120,114,250506120,
2025-05-08,1:10 PM,3:10 PM,Detroit Tigers,10,Colorado Rockies,2,Final,Casey Mize,Kyle Freeland,Casey Mize,Kyle Freeland,,115,116,250508115,
